post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47640875,"LLM Wiki – example of an ""idea file""",AI,182,53,tamnd,2026-04-05 14:44:59.572097,0.2896174863387978,True
47645468,Writing Lisp is AI resistant and I'm sad,AI,64,62,djha-skin,2026-04-05 14:46:02.450335,0.9538461538461539,False
47646241,Applying machine learning to identify unrecognized Covid-19 deaths in the US,AI,11,7,Pxtl,2026-04-05 14:46:57.686271,0.5833333333333334,False
47624645,Show HN: Apfel – The free AI already on your Mac,AI,715,146,franze,2026-04-05 14:47:27.009472,0.20391061452513967,True
47645976,AI that copied musical artist files copyright claim against artist [updated],AI,56,14,josephcsible,2026-04-05 14:47:35.298337,0.24561403508771928,False
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,AI,394,146,denssumesh,2026-04-05 14:47:43.660186,0.369620253164557,True
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",AI,16,12,bring-shrubbery,2026-04-05 14:47:50.356138,0.7058823529411765,False
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,AI,564,113,AbuAssar,2026-04-05 14:48:37.822295,0.2,True
47617376,OpenAI Acquires TBPN,AI,238,190,surprisetalk,2026-04-05 14:48:39.920636,0.7949790794979079,True
47645696,Towards end-to-end automation of AI research,AI,6,0,hardmaru,2026-04-05 14:48:55.768169,0.0,False
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,AI,92,37,borski,2026-04-05 14:48:59.696677,0.3978494623655914,False
47639207,Show HN: Tokencap – Token budget enforcement across your AI agents,AI,7,0,pykul,2026-04-05 14:51:07.832310,0.0,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",AI,96,39,Bender,2026-04-05 14:51:12.241456,0.4020618556701031,False
47592755,OpenAI closes funding round at an $852B valuation,AI,526,493,surprisetalk,2026-04-05 14:51:36.197375,0.9354838709677419,True
47635340,Let's be Honest about AI Coding,AI,22,3,lordofmoria,2026-04-05 14:51:44.602248,0.13043478260869565,False
47620039,"Reporting potholes with an ESP32, LoRA, and AI",AI,33,0,flakespancakes,2026-04-05 14:52:37.847768,0.0,False
47603737,AI for American-produced cement and concrete,AI,223,117,latchkey,2026-04-05 14:52:42.083765,0.5223214285714286,True
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,AI,36,6,j0rg3,2026-04-05 14:53:13.379908,0.16216216216216217,False
47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,AI,30,4,diehunde,2026-04-05 14:53:54.340986,0.12903225806451613,False
47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,AI,35,8,heavyset_go,2026-04-05 14:54:01.031304,0.2222222222222222,False
47633514,"Writing an LLM from scratch, part 32h – Interventions: full fat float32",AI,7,0,gpjt,2026-04-05 14:54:09.352934,0.0,False
47632901,Sandbox Strategy Game for AI,AI,6,0,Stefan_Golas,2026-04-05 14:54:21.915055,0.0,False
47610336,r/programming bans all discussion of LLM programming,AI,196,219,cryptoz,2026-04-05 14:55:19.526157,1.1116751269035532,True
47646843,Lisette a little language inspired by Rust that compiles to Go,Programming,26,10,jspdown,2026-04-05 14:44:57.781078,0.37037037037037035,False
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",Programming,64,25,waveywaves,2026-04-05 14:45:13.762790,0.38461538461538464,False
47616157,Software never had a soul,Programming,13,11,firloop,2026-04-05 14:45:15.691251,0.7857142857142857,False
47637757,Embarrassingly simple self-distillation improves code generation,Programming,589,177,Anon84,2026-04-05 14:45:40.650275,0.3,True
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,Programming,1048,795,firloop,2026-04-05 14:45:50.374061,0.7578646329837941,True
47601570,"Csp-toolkit – Python library to parse, analyze, and find bypasses in CSP headers",Programming,12,1,bitscraper,2026-04-05 14:47:48.000235,0.07692307692307693,False
47633640,How to Write Unmaintainable Code (1999),Programming,51,16,downbad_,2026-04-05 14:48:28.816158,0.3076923076923077,False
47630592,Async Python Is Secretly Deterministic,Programming,75,34,KraftyOne,2026-04-05 14:48:53.593587,0.4473684210526316,False
47620933,Memo: A language that remembers only the last 12 lines of code,Programming,57,36,notem,2026-04-05 14:50:39.798729,0.6206896551724138,False
